,Store Name,Description,Department,Qty Sold,Cost,Retail,Total Retail,Margin,Profit
1070,HAWK   LLC,PEPSI WILD CHERRY CAN 16 OZ,BEVERAGE : STANDARD,76,1.38,2.49,189.24,44.61,84.43
1071,HAWK   LLC,SWISHER SO2 GRAPE 30 / 2 CT,CIGAR & PAPER,76,1.42,1.99,151.24,28.81,43.58
1072,HAWK   LLC,NEWPORT BOX,CIGARETTES,76,10.8,12.4,937.15,12.94,121.9
1073,HAWK   LLC,DEX ARTISAN ITALIAN SUB 8,REFRIGERATED,76,4.07,6.69,508.44,39.18,199.22
1074,HAWK   LLC,BINGO TRIPLER,LOTTERY,76,5.0,5.0,380.0,0.0,0.0
1075,CHEYENNE   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,76,9.21,10.49,792.64,12.25,97.66
1076,CHEYENNE   LLC,GATORADE THIRST LEMON LIME 28 OZ,BEVERAGE : STANDARD,76,1.89,3.39,260.24,44.15,113.75
1077,LITTLETON   LLC,MONSTER ZERO SUGAR ULTRA BLUE HAWAIIAN ENERGY DRINK CAN 16 OZ,BEVERAGE : STANDARD,76,1.74,3.59,272.84,51.53,140.6
1078,LITTLETON   LLC,COPENHAGEN SNUFF FINE CUT,CHEW,76,8.46,9.79,744.04,13.54,100.78
1079,Zuni   LLC,STRBK FRAPPUCCINO VANILLA CHILLED COFFEE 13.7 OZ,BEVERAGE : STANDARD,76,2.83,4.39,336.84,35.46,118.31
1080,Zuni   LLC,CHARMS BLOW POP ASSORTED,CANDY : BARS,76,0.16,0.39,29.64,58.59,17.37
1081,Zuni   LLC,$200 FRENZY,LOTTERY,76,0.0,5.0,380.0,100.0,380.0
1082,Zuni   LLC,ALANI ENERGY HAWAIIAN SHAVED 12 OZ,BEVERAGE : STANDARD,76,1.8,3.09,273.24,41.75,98.04
1083,BOULDER   LLC,ZYN COOL MINT 3MG,POUCH,76,6.49,8.99,683.24,31.03,190.3
1084,Golden LLC,MONSTER ENERGY DRINK 24 OZ,BEVERAGE : STANDARD,76,2.66,4.69,356.44,43.34,154.47
1085,Golden LLC,FIJI WATER  1 LTR LOOSE,BEVERAGE : STANDARD,76,2.03,4.19,318.44,51.57,164.23
1086,Golden LLC,VITAMIN XXX BLUEBERRY POMEGRANATE 20 OZ,BEVERAGE : STANDARD,76,1.45,2.79,212.04,47.91,101.59
1087,Golden LLC,NOS ENERGY DRINK 24 OZ,BEVERAGE : STANDARD,76,2.66,4.59,348.84,42.1,146.87
1088,CEDAR   LLC,PALLSAV MEN BLACK 83 BOX,CIGARETTES,75,9.65,10.33,768.87,6.56,50.85
1089,CEDAR   LLC,MT CT JU,FRITO LAYS,75,1.88,2.69,201.75,30.11,60.75
1090,CEDAR   LLC,LONGHORN FC NATURAL,CHEW,75,4.45,5.19,389.25,14.3,55.65
1091,CEDAR   LLC,VITAMIN XXX BLUEBERRY POMEGRANATE 20 OZ,BEVERAGE : STANDARD,75,1.45,2.79,209.25,47.91,100.25
1092,HAWK   LLC,LIGHTER BIC FLICK YOUR BI,COUNTER DISPLAY,75,1.65,3.39,254.25,51.47,130.88
1093,HAWK   LLC,LIQUID DEATH TEAS ARMLESS PALMER 19.2 OZ,BEVERAGE : STANDARD,75,1.8,4.09,306.75,56.05,171.94
1094,LITTLETON   LLC,ELDORADO 1.0 LITER 12 PK 1 LTR,BEVERAGE : STANDARD,75,0.71,2.39,179.25,70.36,126.13
1095,LITTLETON   LLC,BEST CHANCE TO BE A MILLIONAIRE,LOTTERY,75,50.0,50.0,3750.0,0.0,0.0
1096,Zuni   LLC,VISINE REDEYE COMFORT DROPS 0.28 OZ,HBC,75,1.92,5.49,411.75,65.1,268.07
1097,Zuni   LLC,GUAYAKI BRAVO MANGO ORGANIC  15.5 OZ,BEVERAGE : SPECIALITY,75,2.08,4.59,341.65,54.61,188.0
1098,BOULDER   LLC,LIFEWATER PURIFIED 1 LTR,BEVERAGE : STANDARD,75,1.67,3.29,246.75,49.34,121.76
1099,BOULDER   LLC,MARLBORO RED LABEL 100 BO,CIGARETTES,75,9.92,11.39,849.32,12.94,110.55
1100,BOULDER   LLC,GATORADE COOL BLUE 20  OZ,BEVERAGE : STANDARD,75,1.46,2.99,224.25,51.09,114.56
1101,Golden LLC,SNICKERS KING 2 PIECE,CANDY : BARS,75,1.92,3.29,246.75,41.57,102.56
1102,Golden LLC,ZYN CINNAMON 3MG,POUCH,75,6.65,8.99,674.25,26.03,175.5
1103,Golden LLC,ZYN MENTHOL 3MG,POUCH,75,6.65,8.99,674.25,26.03,175.5
1104,Golden LLC,RED BULL WILD BERRIES S/FREE 12 OZ,BEVERAGE : STANDARD,75,2.05,3.99,299.25,48.62,145.5
1105,Golden LLC,$25 MILLION CASH EXPLOSION,LOTTERY,75,20.0,20.0,1500.0,0.0,0.0
1106,CEDAR   LLC,RED BULL SUMMER/ AMBER 12 OZ,BEVERAGE : STANDARD,74,2.19,3.99,295.26,45.23,133.54
1107,CEDAR   LLC,ARIZONA WATERMELON 22OZ,BEVERAGE : STANDARD,74,0.87,1.99,147.26,56.32,82.95
1108,HAWK   LLC,SCHWEPPES GINGER ALE 20 OZ,BEVERAGE : STANDARD,74,1.55,2.99,222.66,48.09,106.41
1109,CHEYENNE   LLC,DR NAC,FRITO LAYS,74,1.88,2.69,199.06,30.11,59.94
1110,CHEYENNE   LLC,RED BULL GRPFRUIT BLOSSOM 12 OZ,BEVERAGE : STANDARD,74,2.0,3.99,295.26,49.93,147.42
1111,CHEYENNE   LLC,ICEE LARGE,FOUNTAIN,74,1.26,2.09,154.66,39.71,61.42
1112,LITTLETON   LLC,MARLBORO SILVER PACK BOX,CIGARETTES,74,9.92,11.39,836.74,12.94,109.08
1113,LITTLETON   LLC,GATORADE THIRST FRUIT PUNCH 28 OZ,BEVERAGE : STANDARD,74,1.99,3.39,254.06,41.3,103.6
1114,LITTLETON   LLC,S097 FIREBALL CINNAMON RED HOT,LIQUOR,74,1.16,2.29,169.46,49.25,83.47
1115,Zuni   LLC,LIFEWATER PURIFIED 1 LTR,BEVERAGE : STANDARD,74,1.67,3.29,243.46,49.34,120.13
1116,Zuni   LLC,LB LMO,FRITO LAYS,74,1.88,2.69,199.06,30.11,59.94
1117,Zuni   LLC,$ 5 decade,LOTTERY,74,0.08,5.0,370.0,98.33,363.84
1118,Zuni   LLC,CELSIUS STRAWBERRY PASSIONFRUIT 12 OZ,BEVERAGE : STANDARD,74,1.52,2.99,220.78,49.14,108.72
1119,BOULDER   LLC,MARLBORO 72 BOX,CIGARETTES,74,9.92,10.89,799.82,8.94,72.08
1120,BOULDER   LLC,RED BULL SUGARFREE 8.4 OZ,BEVERAGE : STANDARD,74,1.52,3.29,243.46,53.77,130.92
1121,BOULDER   LLC,RED BULL 16 OZ,BEVERAGE : STANDARD,74,2.93,4.99,369.26,41.37,152.75
1122,Golden LLC,TOPO CHICO LIME WITH MINT 12 OZ,BEVERAGE : STANDARD,74,1.0,1.99,145.06,49.52,72.93
1123,Golden LLC,COCA COLA CHERRY ZERO 20 OZ,BEVERAGE : STANDARD,74,1.58,2.99,221.26,47.05,104.1
1124,Golden LLC,$500 FRENZY,LOTTERY,74,0.0,10.0,740.0,100.0,740.0
1125,CEDAR   LLC,STRING CHEESE 1/OZ SARGEN,REFRIGERATED,73,0.46,0.89,64.97,48.74,31.67
1126,CEDAR   LLC,AMERICAN SPIRIT ORG 85 BO,CIGARETTES,73,11.33,13.18,956.47,14.04,135.05
1127,CEDAR   LLC,ZYN WINTERGREEN 6MG,POUCH,73,6.65,8.99,656.27,26.03,170.82
1128,CEDAR   LLC,NOS HIGH PERFORMANCE ENERGY 16 OZ,BEVERAGE : STANDARD,73,1.72,3.59,258.07,52.0,136.27
1129,WHEAT   LLC,GATORADE COOL BLUE 28 OZ,BEVERAGE : STANDARD,73,1.99,3.39,250.87,41.3,102.2
1130,HAWK   LLC,MT LB REG,FRITO LAYS,73,3.68,4.99,364.27,26.25,95.63
1131,HAWK   LLC,GATORADE FRUIT PUNCH 24 OZ,BEVERAGE : STANDARD,73,2.09,3.49,254.77,40.01,101.93
1132,HAWK   LLC,MONSTER ENERGY ZERO ULTRA 24 OZ,BEVERAGE : STANDARD,73,2.66,4.79,349.67,44.52,155.67
1133,CHEYENNE   LLC,MDEW CODE RED 20 OZ,BEVERAGE : STANDARD,73,1.58,2.99,218.27,47.05,102.69
1134,CHEYENNE   LLC,ARIZONA SWEET TEA 22OZ,BEVERAGE : STANDARD,73,0.87,1.99,145.27,56.32,81.83
1135,CHEYENNE   LLC,KANVA BOTANIALS KANNA + KANYA RELAXING TONIC,SMOKE SHOP,73,5.0,9.99,687.27,49.96,364.34
1136,LITTLETON   LLC,ZYN CINNAMON 3MG,POUCH,73,6.65,8.99,656.27,26.03,170.82
1137,LITTLETON   LLC,ZYN CITRUS 3MG,POUCH,73,6.65,8.99,656.27,26.03,170.82
1138,Zuni   LLC,REESES KING,CANDY : BARS,73,1.71,3.29,240.17,48.04,115.38
1139,Zuni   LLC,DS074 CORONA 24 OZ,BEER,73,2.65,4.59,335.07,42.18,141.32
1140,Zuni   LLC,ALANI ENG CHTW 12 OZ,BEVERAGE : STANDARD,73,1.8,3.09,259.17,41.75,94.17
1141,Zuni   LLC,ZIG ZAG HEMP WRAP ORIGINAL,CIGAR & PAPER,73,0.51,0.99,72.27,48.97,35.39
1142,BOULDER   LLC,TOPO CHICO MINERAL WATER 11.5 OZ,BEVERAGE : STANDARD,73,1.35,3.09,216.57,56.31,127.02
1143,BOULDER   LLC,PALLSAV MEN 100 BOX,CIGARETTES,73,9.65,10.33,768.66,6.56,49.49
1144,BOULDER   LLC,ELECTROLIT BEVERAGE FRUIT PUNCH 21 OZ,BEVERAGE : STANDARD,73,1.92,3.99,291.27,51.96,151.36
1145,Golden LLC,L & M BLUE PACK BOX,CIGARETTES,73,9.75,10.79,786.12,9.65,75.99
1146,Golden LLC,GATORADE FIERCE BLU CHERRY 28 OZ,BEVERAGE : STANDARD,73,1.99,3.39,249.87,41.3,102.2
1147,Golden LLC,RED BULL GRPFRUIT BLOSSON S/FREE 8 0Z,BEVERAGE : STANDARD,73,1.52,3.29,240.17,53.77,129.15
1148,Golden LLC,$200 FRENZY,LOTTERY,73,0.0,5.0,365.0,100.0,365.0
1149,CEDAR   LLC,HERSHEY MILK CHOCOLATE,CANDY : BARS,72,0.98,2.29,164.88,57.13,94.2
1150,CEDAR   LLC,AMERICAN SPIRIT 85 BOX YE,CIGARETTES,72,10.85,12.61,903.72,13.96,126.72
1151,CEDAR   LLC,BARQS ROOT BEER 20 OZ,BEVERAGE : STANDARD,72,1.28,2.99,215.28,57.15,123.03
1152,CEDAR   LLC,B.B. ORIGINAL BOMB POP 3.,ICE CREAM,72,1.16,2.39,172.08,51.52,88.65
1153,CEDAR   LLC,MONSTER ENERGY DRINK PACIFIC PUNCH 16 OZ,BEVERAGE : STANDARD,72,1.74,3.59,258.48,51.53,133.2
1154,HAWK   LLC,BUBBLY BLKBERY 16 OZ,BEVERAGE : STANDARD,72,1.17,2.19,157.68,46.73,73.68
1155,HAWK   LLC,BRISK LEMON ICED SWEET TEA 1 LTR,BEVERAGE : STANDARD,72,1.12,2.29,164.88,51.09,84.24
1156,HAWK   LLC,B.B. CHAMP CONE CARAMEL 4,ICE CREAM,72,1.47,3.09,222.48,52.29,116.34
1157,HAWK   LLC,COPENHAGEN LONG CUT STRAI,CHEW,72,7.72,8.89,640.08,13.18,84.38
1158,CHEYENNE   LLC,DR CRA,FRITO LAYS,72,1.88,2.69,193.68,30.11,58.32
1159,CHEYENNE   LLC,TRUMOO CHOC ESL 14 OZ,REFRIGERATED,72,1.42,2.99,194.28,52.51,113.04
1160,CHEYENNE   LLC,ON NICOTINE POUCHES 4MG C,POUCH,72,3.4,4.39,314.88,22.64,71.57
1161,COLFAX   LLC,COCA COLA CLASSIC STOCK AND GRIP 20 OZ,BEVERAGE : STANDARD,72,1.58,2.99,221.26,47.05,101.28
1162,COLFAX   LLC,DR PEPPER 20 OZ,BEVERAGE : STANDARD,72,1.61,2.99,215.28,46.14,99.33
1163,COLFAX   LLC,GLACEAU SMART WATER 700 ML,BEVERAGE : STANDARD,72,1.45,2.99,214.79,51.55,110.97
1164,LITTLETON   LLC,ZYN PEPPERMINT 3MG,POUCH,72,6.65,8.99,647.28,26.03,168.48
1165,Zuni   LLC,ORBIT WINTERMINT 14 CT,GUMS & MINTS,72,1.01,2.19,157.68,54.03,85.2
1166,Zuni   LLC,BON APPETIT CHEESE&BERRY,BAKERY & PASTRY,72,1.87,3.19,229.68,41.42,95.13
1167,Zuni   LLC,SNICKERS ORIGINAL,CANDY : BARS,72,1.18,2.29,164.88,48.35,79.73
1168,Zuni   LLC,SNICKERS BIG ONE ICE CRM,ICE CREAM,72,1.91,3.89,280.08,50.93,142.65
1169,Zuni   LLC,TROPPPOROJ 11 OZ,BEVERAGE : STANDARD,72,2.0,2.99,223.28,33.11,71.28
1170,Zuni   LLC,TRIDENT WHITE PEPPERMINT,GUMS & MINTS,72,1.13,2.79,180.78,59.42,119.36
1171,Zuni   LLC,A&W ROOT BEAR 20 OZ,BEVERAGE : STANDARD,72,1.28,2.79,200.88,54.3,109.08
1172,Zuni   LLC,RED BULL COCONUT BERRY 12 OZ,BEVERAGE : STANDARD,72,2.06,3.99,287.28,48.36,138.93
1173,Zuni   LLC,GUAYAKI REVEL BERRY 15.5 OZ,BEVERAGE : SPECIALITY,72,2.08,4.39,316.08,52.54,166.08
1174,Zuni   LLC,MIKE HARDER LEMONADE 23.5 OZ,BEER,72,2.65,4.59,326.83,42.18,139.38
1175,Zuni   LLC,NEW BELGUIM VOODOO RANGER IMPERIAL 19.2 OZ,BEER,72,2.44,4.19,287.68,41.69,125.76
1176,Zuni   LLC,VITAMIN WATER ZERO 20 OZ,BEVERAGE : STANDARD,72,1.45,2.79,200.88,47.91,96.24
1177,BOULDER   LLC,NEWPORT BOX 100S,CIGARETTES,72,10.8,12.4,886.92,12.94,115.49
1178,BOULDER   LLC,NESTLE PURE LIFEWATER 24 PK 16.9 OZ,BEVERAGE : STANDARD,72,6.5,7.99,575.28,18.65,107.28
1179,BOULDER   LLC,DS045 WHITE CLAW SURGE BLOOD ORANGE 19.2 OZ,BEER,72,2.65,4.59,330.48,42.18,139.38
1180,BOULDER   LLC,CANN LEMON LAVENDER 12 OZ,BEVERAGE : SPECIALITY,72,1.97,3.99,287.28,50.66,145.53
1181,Golden LLC,BON APPETIT MARBLE CAKE 4,BAKERY & PASTRY,72,1.87,3.19,229.68,41.3,94.86
1182,Golden LLC,GATORLYTE GLACIER FREEZE 20 OZ,BEVERAGE : STANDARD,72,1.92,3.79,272.88,49.32,134.58
1183,Golden LLC,RED BULL SUGARFREE 8.4 OZ,BEVERAGE : STANDARD,72,1.52,3.29,236.88,53.77,127.38
1184,Golden LLC,VITAMIN WATER GLACEAU 20 OZ,BEVERAGE : STANDARD,72,1.45,2.79,200.88,47.91,96.24
1185,CEDAR   LLC,MDEW VOLTAGE 20 OZ,BEVERAGE : STANDARD,71,1.61,2.99,212.29,46.14,97.95
1186,CEDAR   LLC,NESQUIK STRAWBERRY,BEVERAGE : STANDARD,71,1.62,2.89,205.19,44.03,90.35
1187,CEDAR   LLC,CT XFH,FRITO LAYS,71,1.88,2.69,190.99,30.11,57.51
1188,CEDAR   LLC,REESES PEANUT BUTTER,CANDY : BARS,71,0.98,2.29,162.59,57.13,92.9
1189,CEDAR   LLC,AMERICAN SPIRIT 85 BOX BL,CIGARETTES,71,10.85,12.61,915.28,13.96,124.96
1190,HAWK   LLC,REESES FAST BREAK KING,CANDY : BARS,71,1.75,3.39,240.69,48.39,116.48
1191,HAWK   LLC,LA FAVORITA TORTILLA CHIPS 16 OZ,GROCERY,71,2.62,4.99,354.29,47.49,168.27
1192,HAWK   LLC,STARBUCKS TRIPLESHOT CAFFE MOCHA EXTRA STRENGTH ENERGY COFFEE BEVRAGE 11 OZ,BEVERAGE : STANDARD,71,2.92,4.49,318.79,35.04,111.71
1193,HAWK   LLC,CELSIUS SPARKLING ORANGE ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,71,1.52,3.09,219.39,50.78,111.41
1194,CHEYENNE   LLC,MG TRUMOO WHOLE CHOCOLATE MILK QUART 12 OZ,REFRIGERATED,71,1.91,3.49,254.39,45.27,112.18
1195,CHEYENNE   LLC,CHEESE CHEDDAR 2/OZ CHSE,REFRIGERATED,71,1.12,1.99,141.29,43.97,62.13
1196,Zuni   LLC,MDEW VOLTAGE 20 OZ,BEVERAGE : STANDARD,71,1.61,2.99,212.29,46.14,97.95
1197,Zuni   LLC,DS072 MICHELOB ULTRA 25 OZ,BEER,71,2.3,3.99,283.29,42.27,119.76
1198,Zuni   LLC,GRIZZLY LONGCUT WINTERGRE,CHEW,71,7.65,8.64,604.32,11.46,70.29
1199,Zuni   LLC,RED BULL 16 OZ,BEVERAGE : STANDARD,71,2.93,4.99,354.29,41.37,146.56
1200,Zuni   LLC,BAR TAKIS FUEGO 3.25 OZ,BIMBO BAKERY,71,1.6,2.99,212.29,46.49,98.69
1201,Golden LLC,STRBK COFFEE13.7 OZ,BEVERAGE : STANDARD,71,2.83,4.39,315.89,35.46,110.53
1202,Golden LLC,MARLBORO BLACK 100 BOX,CIGARETTES,71,9.46,9.05,640.37,-4.56,-29.32
1203,Golden LLC,BON APPETIT CHEESE&BERRY,BAKERY & PASTRY,71,1.87,3.19,226.49,41.42,93.81
1204,Golden LLC,GUAYAKI BERRY LEMONADE 15.5 OZ,BEVERAGE : SPECIALITY,71,1.92,4.39,311.69,56.34,175.61
1205,Golden LLC,CORE POWER PROTEIN MILK SHAKE 14 OZ,BEVERAGE : STANDARD,71,2.6,4.69,332.99,44.47,148.1
1206,Golden LLC,ON NICOTINE POUCHES 4MG C,POUCH,71,5.3,6.79,478.09,21.97,105.93
1207,Golden LLC,CELSIUS PEACH VIBE 12 OZ,BEVERAGE : STANDARD,71,1.52,2.99,212.29,49.14,104.31
1208,CEDAR   LLC,PEPSI DIET 20 OZ,BEVERAGE : STANDARD,70,1.61,2.99,209.3,46.14,96.57
1209,CEDAR   LLC,DASANI WATER 20 OZ,BEVERAGE : STANDARD,70,1.04,2.19,153.3,52.44,80.39
1210,CEDAR   LLC,WERNER TERIYAKI STICK,LOCAL PRODCTS,70,0.8,1.49,104.3,46.31,48.3
1211,WHEAT   LLC,LUCKY STRIKE RED KING FIL,CIGARETTES,70,8.3,7.79,542.77,-6.53,-35.63
1212,WHEAT   LLC,GATORADE LIME CUCUMBER 28 OZ,BEVERAGE : STANDARD,70,1.99,3.39,238.1,41.3,98.0
1213,WHEAT   LLC,RED BULL SUGARFREE 12 OZ,BEVERAGE : STANDARD,70,2.06,3.99,279.3,48.36,135.07
1214,HAWK   LLC,M & M PEANUT KING,CANDY : BARS,70,1.92,3.39,237.3,43.29,102.73
1215,HAWK   LLC,SKOAL LONG CUT WINTERGREE,CHEW,70,8.63,9.89,692.3,12.76,88.34
1216,HAWK   LLC,ARIZONA WATERMELON 22OZ,BEVERAGE : STANDARD,70,0.87,2.09,146.3,58.41,85.46
1217,HAWK   LLC,WHLFCLS MILK WHL 1GALLON,REFRIGERATED,70,6.58,6.99,489.3,5.83,28.53
1218,CHEYENNE   LLC,SNICKERS KING 2 PIECE,CANDY : BARS,70,1.92,3.29,230.3,41.57,95.73
1219,CHEYENNE   LLC,A&W CAFFEINE ROOT BEAR 20 OZ,BEVERAGE : STANDARD,70,1.58,2.79,195.3,43.25,84.47
1220,CHEYENNE   LLC,ROCKSTAR RCVRY 16 OZ,BEVERAGE : STANDARD,70,1.63,3.29,230.3,50.61,116.55
1221,LITTLETON   LLC,REESES KING,CANDY : BARS,70,1.75,3.29,230.3,46.78,107.74
1222,LITTLETON   LLC,MODELO ESPECIAL 24 OZ,BEER,70,2.65,3.99,279.3,33.48,93.51
1223,LITTLETON   LLC,ESSENTIA 700 ML,BEVERAGE : STANDARD,70,1.2,2.49,174.3,51.81,90.3
1224,LITTLETON   LLC,"$10 monopoly $250,000!",LOTTERY,70,10.0,10.0,700.0,0.0,0.0
1225,Zuni   LLC,CARAMELLO KING,CANDY : BARS,70,1.75,3.29,230.3,46.83,107.84
1226,Zuni   LLC,M & M PEANUT KING,CANDY : BARS,70,1.92,3.29,230.3,41.57,95.73
1227,Zuni   LLC,DEX TURKEY CLUB WEDGE 785,REFRIGERATED,70,2.84,4.69,328.3,39.42,129.43
1228,Zuni   LLC,GATORADE ORANGE 28 OZ,BEVERAGE : STANDARD,70,1.99,3.39,250.5,41.3,98.0
1229,Zuni   LLC,DR PEPPER 1 LTR,BEVERAGE : STANDARD,70,2.02,3.59,251.3,43.73,109.9
1230,Zuni   LLC,RED BULL CARUBA ELDER FLOWER 12 OZ,BEVERAGE : STANDARD,70,2.06,3.99,279.3,48.36,135.07
1231,Zuni   LLC,MIKES HARDER MANGO 23.5 OZ,BEER,70,2.65,4.59,321.3,42.18,135.51
1232,Zuni   LLC,NEW BELGIUM VOODOO JUICE FORCE IPA 19.2 OZ,BEER,70,2.44,4.19,282.1,41.69,122.27
1233,Zuni   LLC,ZIG ZAG CIGAR WRAP GRAPE,CIGAR & PAPER,70,0.95,1.59,111.3,39.97,44.49
1234,Zuni   LLC,SWEETWOOD FATTY SS ORIG&C,JERKY,70,2.21,4.09,286.3,45.98,131.64
1235,Zuni   LLC,ON NICOTINE POUCHES 2MG W,POUCH,70,5.3,6.79,473.7,21.97,104.44
1236,BOULDER   LLC,PEPSI 1 LTR,BEVERAGE : STANDARD,70,2.02,3.59,251.3,43.73,109.9
1237,BOULDER   LLC,AMERICAN SPIRIT ORG 85 BO,CIGARETTES,70,11.33,13.18,917.35,14.04,129.5
1238,BOULDER   LLC,DASANI WATER ZERO 20 OZ,BEVERAGE : STANDARD,70,1.04,2.19,153.3,52.44,80.39
1239,BOULDER   LLC,SUGAR BEVERAGE FEE 20.28 OZ,SUGAR FEE  (OPERATIONAL ONLY),70,0.41,0.41,28.7,0.0,0.0
1240,BOULDER   LLC,REDBULL SUMMER EDITION ENERGY DRINK 12 OZ,BEVERAGE : STANDARD,70,1.52,3.29,230.3,53.77,123.84
1241,BOULDER   LLC,"$20,000 FRENZY HOLIDAY EDITION / $20,000 FRENZY",LOTTERY,70,20.0,20.0,1400.0,0.0,0.0
1242,BOULDER   LLC,SMARTWATER ELECTROLYTE 20 OZ,BEVERAGE : STANDARD,70,1.37,2.59,181.3,46.99,85.2
1243,BOULDER   LLC,ELECTROLIT GRAPE 21 OZ,BEVERAGE : STANDARD,70,1.92,3.99,279.3,51.96,145.14
1244,Golden LLC,MDEW SODA 16 OZ,BEVERAGE : STANDARD,70,1.38,2.39,165.0,42.29,70.76
1245,Golden LLC,MARLBORO MENTHOL GOLD PAC,CIGARETTES,70,10.22,12.02,835.71,15.01,126.28
1246,Golden LLC,MARLBORO SILVER PACK BOX,CIGARETTES,70,9.92,11.39,792.2,12.94,103.18
1247,Golden LLC,MONSTER ULTRA VIOLET ZERO SUGAR 16 OZ,BEVERAGE : STANDARD,70,1.74,3.59,251.3,51.53,129.5
1248,Golden LLC,5 HOUR ENERGY-ES GRAPE 2O,COUNTER DISPLAY,70,2.16,4.89,342.3,55.83,191.1
1249,Golden LLC,CELSIUS WATERMELON 12 OZ,BEVERAGE : STANDARD,70,1.52,2.99,209.3,49.14,102.84
1250,CEDAR   LLC,MDEW DIET 20 OZ,BEVERAGE : STANDARD,69,1.61,2.99,206.31,46.14,95.19
1251,CEDAR   LLC,SLIM JIM GIANT,JERKY,69,1.13,2.09,144.21,45.77,66.01
1252,CEDAR   LLC,FY HOT,FRITO LAYS,69,1.88,2.69,185.61,30.11,55.89
1253,CEDAR   LLC,LB REG,FRITO LAYS,69,1.88,2.69,185.61,30.11,55.89
1254,CEDAR   LLC,MONSTER ENERGY DRINK 24 OZ,BEVERAGE : STANDARD,69,2.66,4.69,323.61,43.34,140.24
1255,HAWK   LLC,AMERICAN SPIRIT MEN 85 BO,CIGARETTES,69,11.33,13.18,903.54,14.04,127.65
1256,HAWK   LLC,FANTA ORANGE SODA 20 OZ,BEVERAGE : STANDARD,69,1.28,3.09,213.21,58.54,124.81
1257,HAWK   LLC,BARQS ROOT BEER 20 OZ,BEVERAGE : STANDARD,69,1.28,3.09,213.21,58.54,124.81
1258,HAWK   LLC,MONSTER ENERGY TAURINE ZERO SUGAR 16 OZ,BEVERAGE : STANDARD,69,1.74,3.69,254.61,52.85,134.55
1259,CHEYENNE   LLC,DIET PEPSI 1 LTR,BEVERAGE : STANDARD,69,1.96,3.59,247.71,45.45,112.59
1260,CHEYENNE   LLC,MONSTER ENGRY JUICE MANGO LOCO 16 OZ,BEVERAGE : STANDARD,69,1.68,3.59,247.71,53.2,131.79
1261,CHEYENNE   LLC,BOX OF SEVENS 10 CT CHEWABLE TABLETS 7-HYDROXYMITRAGYNING 20 MG PER TABLET,SMOKE SHOP,69,32.5,64.99,4484.31,49.99,2241.81
1262,CHEYENNE   LLC,CORE WATER 30.4 OZ,BEVERAGE : STANDARD,69,1.54,2.89,199.41,46.66,93.04
1263,Zuni   LLC,MARLBORO BLACK BOX,CIGARETTES,69,9.46,9.05,620.47,-4.56,-28.5
1264,Zuni   LLC,ALANI COSMIC STARDUST ENERGY 12 OZ,BEVERAGE : STANDARD,69,1.8,3.09,228.01,41.75,89.01
1265,Zuni   LLC,YUP CHOC MILK 14 OZ,BEVERAGE : STANDARD,69,1.74,2.79,192.51,37.66,72.51
1266,Zuni   LLC,ZONE POUCH WINTERGREEN 9M,POUCH,69,5.6,7.29,503.01,23.21,116.75
1267,Zuni   LLC,VINUT 100% JUICE WATERMELOM 16OZ /24PK,BEVERAGE : STANDARD,69,1.5,2.99,240.81,49.85,102.84
1268,BOULDER   LLC,GATORADE ORANGE 28 OZ,BEVERAGE : STANDARD,69,1.99,3.39,236.31,41.3,96.6
1269,BOULDER   LLC,ZYN PEPPERMINT 3MG,POUCH,69,6.49,8.99,620.31,33.26,172.78
1270,BOULDER   LLC,ZYN WINTERGREEN 3MG,POUCH,69,6.49,8.99,620.31,27.85,172.78
1271,BOULDER   LLC,$ 2 decade,LOTTERY,69,0.02,2.0,138.0,99.0,136.62
1272,BOULDER   LLC,ON NICOTINE POUCHES 4MG C,POUCH,69,5.3,6.79,465.31,21.97,102.95
1273,Golden LLC,CAMEL SNUS FROST LARGE,CHEW,69,8.64,10.31,703.07,16.16,114.95
1274,Golden LLC,MARLBORO MENTHOL BLUE PAC,CIGARETTES,69,10.22,12.02,823.84,15.01,124.48
1275,Golden LLC,PACIFICO 24 OZ,BEER,69,2.65,4.39,302.91,39.54,119.78
1276,Golden LLC,BON APPETIT BANANA BREAD,BAKERY & PASTRY,69,1.87,3.19,220.11,41.3,90.91
1277,Golden LLC,GATORADE COOL BLUE 24 OZ,BEVERAGE : STANDARD,69,2.09,3.39,233.91,38.24,89.44
1278,CEDAR   LLC,PURE LEAF EXTRA SWEET TEA 18.5 OZ,BEVERAGE : STANDARD,68,1.6,2.89,196.13,44.64,87.72
1279,CEDAR   LLC,PURE LEAF RASPBERRY TEA 18.5 OZ,BEVERAGE : STANDARD,68,1.6,2.89,196.52,44.64,87.72
1280,CEDAR   LLC,MDEW 2/12 PK 12 OZ,BEVERAGE : STANDARD,68,7.25,10.99,726.32,34.03,254.32
1281,CEDAR   LLC,HERSHEY ALMOND KING,CANDY : BARS,68,1.75,3.29,223.72,46.83,104.76
1282,WHEAT   LLC,MDEW 20 OZ,BEVERAGE : STANDARD,68,1.61,2.99,203.32,46.14,93.81
1283,HAWK   LLC,MDEW DIET 20 OZ,BEVERAGE : STANDARD,68,1.61,3.09,210.12,47.88,100.61
